song_base,source,variant,ref_len,hyp_len,wer,cer,lev_dist_chars,rougeL_f1,uni_prec,uni_rec,uni_f1
Marize---Quem-Me-Dera-whisperx-largev2-15,whisperx,,276,272,0.112319,0.055478,79,0.905109,0.922794,0.909420,0.916058
Marize---Quem-Me-Dera-whisperx-largev2-None,whisperx,,276,278,0.065217,0.027388,39,0.942238,0.942446,0.949275,0.945848
Marize---Quem-Me-Dera_large-v2,whisperx,15,276,272,0.112319,0.055478,79,0.905109,0.922794,0.909420,0.916058
Marize---Quem-Me-Dera_large-v2,whisperx,None,276,278,0.065217,0.027388,39,0.942238,0.942446,0.949275,0.945848
Marize---Quem-Me-Dera_large-v3-turbo,whisperx,15,276,270,0.105072,0.047753,68,0.919414,0.940741,0.920290,0.930403
Marize---Quem-Me-Dera_large-v3-turbo,whisperx,None,276,276,0.068841,0.023174,33,0.942029,0.945652,0.945652,0.945652
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_openai,large-v2,187,199,0.090909,0.087010,71,0.943005,0.939698,1.000000,0.968912
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_openai,large-v3,187,186,0.139037,0.131127,107,0.922252,0.930108,0.925134,0.927614
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_timestamped,large-v2,187,196,0.203209,0.126225,103,0.856397,0.846939,0.887701,0.866841
Michel-Telo---Ai-Se-Eu-Te-Pego,whisper_timestamped,large-v3,187,187,0.090909,0.068627,56,0.941176,0.957219,0.957219,0.957219
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v2-15,whisperx,,187,192,0.128342,0.106618,87,0.918206,0.916667,0.941176,0.928760
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v2-None,whisperx,,187,191,0.048128,0.049020,40,0.973545,0.963351,0.983957,0.973545
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v3-turbo-15,whisperx,,187,197,0.128342,0.102941,84,0.937500,0.918782,0.967914,0.942708
Michel-Telo---Ai-Se-Eu-Te-Pego-whisperx-large-v3-turbo-None,whisperx,,187,193,0.042781,0.044118,36,0.978947,0.963731,0.994652,0.978947
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v2,whisperx,15,187,192,0.128342,0.106618,87,0.918206,0.916667,0.941176,0.928760
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v2,whisperx,None,187,191,0.048128,0.049020,40,0.973545,0.963351,0.983957,0.973545
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v3-turbo,whisperx,15,187,197,0.128342,0.102941,84,0.937500,0.918782,0.967914,0.942708
Michel-Telo---Ai-Se-Eu-Te-Pego_large-v3-turbo,whisperx,None,187,193,0.042781,0.044118,36,0.978947,0.963731,0.994652,0.978947
Neoni---Body-Bag,whisper_openai,large-v2,367,429,0.863760,0.525276,904,0.351759,0.382284,0.446866,0.412060
Neoni---Body-Bag,whisper_openai,large-v3,367,335,0.318801,0.220221,379,0.757835,0.838806,0.765668,0.800570
Neoni---Body-Bag,whisper_timestamped,large-v2,367,211,0.618529,0.504939,869,0.508651,0.781991,0.449591,0.570934
Neoni---Body-Bag,whisper_timestamped,large-v3,367,293,0.583106,0.411970,709,0.487879,0.580205,0.463215,0.515152
Neoni---Body-Bag,whisper_timestamped,small,367,272,0.564033,0.428239,737,0.535211,0.702206,0.520436,0.597809
Neoni---Body-Bag_large-v2,whisperx,15,367,317,0.332425,0.214410,369,0.725146,0.804416,0.694823,0.745614
